_id,size,cut,ready
6545e15bc0f0766746b51856,4*6,0,0
6545e4ccc0f0766746b51859,5*7,0,0
6545e4ccc0f0766746b5185a,6*8,0,0
6545e4ccc0f0766746b5185b,8*10,0,0
6545e4ccc0f0766746b5185c,8*12,0,0
6545e4ccc0f0766746b5185d,8*20,0,0
6545e4ccc0f0766746b5185e,10*12,0,0
6545e4ccc0f0766746b5185f,10*15,0,0
6545e4ccc0f0766746b51860,12*15,0,0
6545e4ccc0f0766746b51861,12*18,0,0
6545e4ccc0f0766746b51862,15*20,0,0
6545e4ccc0f0766746b51863,15*21,0,0
6545e4ccc0f0766746b51864,16*20,0,0
6545e4ccc0f0766746b51865,10*27,0,0
6545e4ccc0f0766746b51866,12*27,0,0
6545e4ccc0f0766746b51867,A4,0,0
